1 input_north_south_trajectories.asc ' RR3X_h2 ' Apr  4 2025 17:29:31
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
0.0103426       0.0206998       0.00839127      0               0               
0.93243         0               -0.678726       6.27411         6.26843         
6.27411         -0.00179427     6.64317         0.932384        0               
0               -0.000170414    24000           999999          606149          
114637          0               0               0               0               
0               0               0               0               
115             14.9            0.00181448      0.988463        -9.03383        
71983.4         5.94672         -118.401        34.609          24011.9         
1752.06         95.7404         -5.73779e-06    -10159          201809          
-11.8903        -175.244        1743.27         0.000175457     3               
0.62715         1915.29         0.879883        1240.5          6861.16         
563.294         0               0.0207663       0.00814293      2.55022         
0.0103414       0.0206679       0.00838949      0               0               
0.932382        0               -0.681926       6.24404         6.23829         
6.24404         -0.00180512     6.63414         0.932336        0               
0               -0.000175457    24000           999999          597468          
114639          0               0               0               0               
0               0               0               0               
120             19.9            0.00236185      0.983609        -9.03389        
71984.9         5.94678         -118.306        34.601          24011.9         
1752.08         95.9818         -5.73736e-06    -11053.6        210523          
-11.8894        -182.589        1742.54         0.000175446     3               
0.62715         1912.47         0.879733        1240.53         6860.19         
560.474         0               0.0207348       0.00814036      2.54715         
0.0103401       0.0206359       0.00838771      0               0               
0.932334        0               -0.685127       6.21357         6.20775         
6.21357         -0.001816       6.62512         0.932288        0               
0               -0.000175446    24000           999999          588785          
114641          0               0               0               0               
0               0               0               0               
125             24.9            0.00290152      0.97869         -9.03394        
71986.7         5.94685         -118.212        34.5926         24011.9         
1752.1          96.2224         -5.7243e-06     -11984.9        219234          
-11.8885        -189.906        1741.78         0.000175049     3               
0.62715         1909.65         0.879583        1240.55         6859.23         
