1 input_north_south_trajectories.asc  Apr  4 2025 17:29:30
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
0.0103671       0.0214526       0.00843338      0               0               
0.959276        0               -0.6027         -14.9275        -14.9313        
-14.9275        -0.00158613     6.67527         0.959234        0               
0               -0.000384035    24000           999999          719899          
114618          0               0               0               0               
0               0               0               0               
90              90              0.00264232      -2.41188        -9.03433        
71971.1         5.94621         -118.876        34.7668         24011.9         
1751.91         84.4933         -1.26731e-05    7454.51         158097          
-11.8801        168.117         1743.83         0.000387502     2               
0.629775        1929.09         0.883537        1239.74         6913.62         
577.088         7084.29         0.021511        0.00820481      2.62176         
0.0103661       0.0214231       0.00843173      0               0               
0.959379        0               -0.605671       -14.9478        -14.9516        
-14.9478        -0.00159607     6.66606         0.959337        0               
0               -0.000387502    24000           999999          711545          
114619          0               0               0               0               
0               0               0               0               
95              95              0.0027311       -2.41539        -9.03446        
71971.7         5.94623         -118.781        34.7745         24011.9         
1751.92         84.1793         -1.33805e-05    8318.99         166814          
-11.8781        177.673         1742.88         0.000409131     2               
0.629691        1926.24         0.883395        1239.76         6911.78         
574.245         7082.91         0.0214821       0.00820237      2.61901         
0.0103652       0.0213937       0.00843009      0               0               
0.959485        0               -0.608636       -14.9683        -14.9723        
-14.9683        -0.00160602     6.65685         0.959443        0               
0               -0.000409131    24000           999999          703183          
114620          0               0               0               0               
0               0               0               0               
100             100             0.00281836      -2.41896        -9.0346         
71972.3         5.94625         -118.686        34.7827         24011.9         
1751.92         83.8646         -1.43073e-05    9231.27         175526          
-11.876         187.242         1741.89         0.000437472     2               
0.629608        1923.4          0.883254        1239.79         6909.95         
571.403         7081.53         0.0214532       0.00819993      2.61626         
0.0103642       0.0213644       0.00842845      0               0               
0.959593        0               -0.611595       -14.9892        -14.9932        
-14.9892        -0.00161598     6.64765         0.959551        0               
0               -0.000437472    24000           999999          694812          
114621          0               0               0               0               
0               0               0               0               
105             4.9             0.00337377      -2.42258        -9.03475        
71972.9         5.94628         -118.591        34.7913         24011.9         
1751.93         83.5494         -1.54223e-05    10191.4         184233          
-11.8737        196.824         1740.84         0.000471569     3               
0.629607        1920.56         0.883112        1239.82         6909.03         
568.561         0               0.0214243       0.0081975       2.61351         
0.0103632       0.0213351       0.00842681      0               0               
